Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
StandardScaler,0.01,l2,0.5276,0.5204,0.5276,0.5217,0.7365
MinMaxScaler,10.0,l2,0.5316,0.5245,0.5316,0.5254,0.7363
RobustScaler,0.1,l2,0.5304,0.5232,0.5304,0.5243,0.7363
RobustScaler,10.0,l2,0.531,0.5239,0.531,0.5248,0.7362
StandardScaler,0.1,l2,0.5304,0.5231,0.5304,0.5242,0.7362
RobustScaler,1.0,l2,0.531,0.5239,0.531,0.5248,0.7362
StandardScaler,10.0,l2,0.5304,0.5231,0.5304,0.5241,0.7362
StandardScaler,1.0,l2,0.5304,0.5231,0.5304,0.5241,0.7362
MinMaxScaler,1.0,l2,0.527,0.5192,0.527,0.5203,0.7361
RobustScaler,0.01,l2,0.5298,0.5244,0.5298,0.526,0.7361
MinMaxScaler,0.1,l2,0.5213,0.5122,0.5213,0.5118,0.734
NoScaler,1.0,l2,0.5372,0.5347,0.5372,0.5352,0.73
NoScaler,0.01,l2,0.5287,0.5252,0.5287,0.5264,0.7291
NoScaler,10.0,l2,0.527,0.5268,0.527,0.5266,0.7274
MinMaxScaler,0.01,l2,0.5156,0.5002,0.5156,0.4957,0.7169
NoScaler,0.1,l2,0.519,0.5144,0.519,0.509,0.7068
Normalizer,10.0,l2,0.4372,0.4329,0.4372,0.4269,0.6283
Normalizer,1.0,l2,0.4315,0.4318,0.4315,0.4197,0.6215
Normalizer,0.1,l2,0.4156,0.4193,0.4156,0.3991,0.6187
Normalizer,0.01,l2,0.4025,0.4695,0.4025,0.3415,0.6075
