Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
RobustScaler,LinearSVC,0.5424,0.5375,0.5424,0.5306,0.7327,,,,
StandardScaler,LinearSVC,0.5418,0.5371,0.5418,0.5299,0.7327,,,,
MinMaxScaler,LinearSVC,0.5412,0.5363,0.5412,0.5291,0.7327,,,,
MinMaxScaler,SGD_Hinge,0.5406,0.5337,0.5406,0.5311,0.727,,,,
MinMaxScaler,SGD_SqHinge,0.5401,0.5353,0.5401,0.5295,0.7316,,,,
StandardScaler,SGD_Hinge,0.5378,0.5331,0.5378,0.525,0.7216,,,,
RobustScaler,SGD_Hinge,0.5293,0.5257,0.5293,0.5173,0.7185,,,,
StandardScaler,SGD_SqHinge,0.502,0.5052,0.502,0.4981,0.7024,,,,
RobustScaler,SGD_SqHinge,0.4935,0.4837,0.4935,0.4767,0.6858,,,,
NoScaler,LinearSVC,0.4713,0.4647,0.4713,0.4354,0.6698,,,,
NoScaler,SGD_Hinge,0.452,0.4521,0.452,0.4264,0.6307,,,,
Normalizer,SGD_Hinge,0.4355,0.4314,0.4355,0.4239,0.6271,,,,
Normalizer,SGD_SqHinge,0.4292,0.4293,0.4292,0.4118,0.6221,,,,
NoScaler,SGD_SqHinge,0.4287,0.4199,0.4287,0.4031,0.6025,,,,
Normalizer,LinearSVC,0.4235,0.4194,0.4235,0.3986,0.6189,,,,
