Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,10.0,l2,0.5614,0.5561,0.5614,0.5535,0.7423
StandardScaler,0.01,l2,0.558,0.5524,0.558,0.5501,0.7422
RobustScaler,10.0,l2,0.5608,0.5557,0.5608,0.553,0.7422
StandardScaler,0.1,l2,0.5614,0.5563,0.5614,0.5534,0.7422
RobustScaler,1.0,l2,0.5602,0.555,0.5602,0.5524,0.7422
StandardScaler,10.0,l2,0.5608,0.5557,0.5608,0.553,0.7422
StandardScaler,1.0,l2,0.5608,0.5557,0.5608,0.553,0.7422
MinMaxScaler,1.0,l2,0.5591,0.5533,0.5591,0.5507,0.7421
RobustScaler,0.1,l2,0.5597,0.5544,0.5597,0.5518,0.7421
RobustScaler,0.01,l2,0.5563,0.5512,0.5563,0.5502,0.7404
MinMaxScaler,0.1,l2,0.558,0.5512,0.558,0.5482,0.7394
NoScaler,10.0,l2,0.5483,0.5439,0.5483,0.5432,0.7314
NoScaler,1.0,l2,0.5477,0.5434,0.5477,0.5425,0.7311
NoScaler,0.1,l2,0.5426,0.5394,0.5426,0.5405,0.728
MinMaxScaler,0.01,l2,0.5318,0.5269,0.5318,0.5134,0.7204
NoScaler,0.01,l2,0.5312,0.5271,0.5312,0.5267,0.7142
Normalizer,10.0,l2,0.4114,0.4094,0.4114,0.3985,0.6098
Normalizer,1.0,l2,0.4102,0.4102,0.4102,0.396,0.6024
Normalizer,0.1,l2,0.4057,0.4099,0.4057,0.3887,0.5917
Normalizer,0.01,l2,0.3773,0.3922,0.3773,0.3208,0.57
