Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,0.1,l2,0.7456,0.7642,0.9529,0.8482,0.7529
NoScaler,0.01,l2,0.7544,0.7714,0.9529,0.8526,0.7521
NoScaler,0.1,l2,0.7719,0.7864,0.9529,0.8617,0.7501
NoScaler,1.0,l2,0.7193,0.7732,0.8824,0.8242,0.7456
RobustScaler,1.0,l2,0.7281,0.7755,0.8941,0.8306,0.7452
MinMaxScaler,10.0,l2,0.7368,0.7619,0.9412,0.8421,0.7436
RobustScaler,0.01,l2,0.7456,0.7456,1.0,0.8543,0.7432
StandardScaler,1.0,l2,0.7193,0.7789,0.8706,0.8222,0.7391
StandardScaler,0.1,l2,0.7456,0.7593,0.9647,0.8497,0.7387
StandardScaler,10.0,l2,0.7193,0.7789,0.8706,0.8222,0.7339
NoScaler,10.0,l2,0.7105,0.7766,0.8588,0.8156,0.731
RobustScaler,10.0,l2,0.7105,0.7766,0.8588,0.8156,0.7278
MinMaxScaler,1.0,l2,0.7544,0.7522,1.0,0.8586,0.7018
StandardScaler,0.01,l2,0.7456,0.7456,1.0,0.8543,0.6982
MinMaxScaler,0.1,l2,0.7456,0.7456,1.0,0.8543,0.6645
MinMaxScaler,0.01,l2,0.7456,0.7456,1.0,0.8543,0.6584
Normalizer,10.0,l2,0.7456,0.7456,1.0,0.8543,0.6507
Normalizer,1.0,l2,0.7456,0.7456,1.0,0.8543,0.6471
Normalizer,0.1,l2,0.7456,0.7456,1.0,0.8543,0.6454
Normalizer,0.01,l2,0.7456,0.7456,1.0,0.8543,0.6316
