Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
NoScaler,LinearSVC,0.7456,0.9833,0.6782,0.8027,0.8289,59,26,1,28
StandardScaler,LinearSVC,0.7193,0.9231,0.6897,0.7895,0.8072,60,22,5,27
Normalizer,SGD_SqHinge,0.693,0.9333,0.6437,0.7619,0.8072,56,23,4,31
NoScaler,SGD_SqHinge,0.6842,0.9474,0.6207,0.75,0.8067,54,24,3,33
RobustScaler,LinearSVC,0.7105,0.9091,0.6897,0.7843,0.8054,60,21,6,27
MinMaxScaler,SGD_Hinge,0.7281,0.9375,0.6897,0.7947,0.7986,60,23,4,27
RobustScaler,SGD_Hinge,0.6842,0.9474,0.6207,0.75,0.794,54,24,3,33
MinMaxScaler,LinearSVC,0.693,0.8824,0.6897,0.7742,0.7935,60,19,8,27
StandardScaler,SGD_Hinge,0.7105,0.8857,0.7126,0.7898,0.7897,62,19,8,25
RobustScaler,SGD_SqHinge,0.6579,0.9286,0.5977,0.7273,0.7756,52,23,4,35
Normalizer,SGD_Hinge,0.5789,0.9149,0.4943,0.6418,0.7667,43,23,4,44
MinMaxScaler,SGD_SqHinge,0.5877,0.8571,0.5517,0.6713,0.7556,48,19,8,39
StandardScaler,SGD_SqHinge,0.6579,0.9,0.6207,0.7347,0.7471,54,21,6,33
NoScaler,SGD_Hinge,0.614,0.9388,0.5287,0.6765,0.7271,46,24,3,41
Normalizer,LinearSVC,0.5789,0.9149,0.4943,0.6418,0.7011,43,23,4,44
