Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
StandardScaler,LinearSVC,0.5395,0.537,0.5395,0.5272,0.7258,,,,
MinMaxScaler,LinearSVC,0.5389,0.5364,0.5389,0.5265,0.7257,,,,
RobustScaler,LinearSVC,0.5378,0.5351,0.5378,0.5253,0.7258,,,,
StandardScaler,SGD_Hinge,0.535,0.5368,0.535,0.5311,0.7229,,,,
MinMaxScaler,SGD_Hinge,0.5304,0.5265,0.5304,0.5157,0.7201,,,,
MinMaxScaler,SGD_SqHinge,0.5298,0.5249,0.5298,0.5148,0.7209,,,,
RobustScaler,SGD_Hinge,0.5185,0.5107,0.5185,0.5046,0.7132,,,,
NoScaler,LinearSVC,0.4997,0.4924,0.4997,0.4732,0.6808,,,,
StandardScaler,SGD_SqHinge,0.4918,0.4838,0.4918,0.4796,0.6861,,,,
RobustScaler,SGD_SqHinge,0.4918,0.4861,0.4918,0.4824,0.6797,,,,
Normalizer,SGD_SqHinge,0.4275,0.4342,0.4275,0.3936,0.6337,,,,
Normalizer,SGD_Hinge,0.4247,0.421,0.4247,0.4155,0.6076,,,,
NoScaler,SGD_Hinge,0.4076,0.42,0.4076,0.3855,0.5737,,,,
NoScaler,SGD_SqHinge,0.4059,0.4215,0.4059,0.3671,0.5932,,,,
Normalizer,LinearSVC,0.4019,0.3951,0.4019,0.3717,0.5969,,,,
