Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
StandardScaler,0.01,l2,0.5361,0.5339,0.5361,0.5273,0.7245
RobustScaler,0.01,l2,0.5378,0.5365,0.5378,0.5295,0.7245
RobustScaler,0.1,l2,0.5378,0.536,0.5378,0.5297,0.7242
StandardScaler,0.1,l2,0.5355,0.5333,0.5355,0.5271,0.7241
MinMaxScaler,10.0,l2,0.5372,0.5353,0.5372,0.5288,0.724
RobustScaler,10.0,l2,0.5372,0.5352,0.5372,0.5289,0.724
RobustScaler,1.0,l2,0.5372,0.5352,0.5372,0.5289,0.724
StandardScaler,10.0,l2,0.5372,0.5352,0.5372,0.5289,0.724
StandardScaler,1.0,l2,0.5372,0.5352,0.5372,0.5289,0.724
MinMaxScaler,1.0,l2,0.535,0.5329,0.535,0.5262,0.7237
NoScaler,1.0,l2,0.5344,0.531,0.5344,0.5216,0.7227
MinMaxScaler,0.1,l2,0.5304,0.5266,0.5304,0.5187,0.721
NoScaler,0.01,l2,0.5327,0.5314,0.5327,0.5188,0.7199
NoScaler,10.0,l2,0.531,0.5298,0.531,0.5282,0.7176
NoScaler,0.1,l2,0.5316,0.5269,0.5316,0.5216,0.7173
MinMaxScaler,0.01,l2,0.5014,0.4911,0.5014,0.4669,0.7059
Normalizer,10.0,l2,0.4116,0.4031,0.4116,0.3843,0.5986
Normalizer,1.0,l2,0.4002,0.3926,0.4002,0.3727,0.5931
Normalizer,0.1,l2,0.3877,0.3768,0.3877,0.3597,0.5869
Normalizer,0.01,l2,0.3906,0.3855,0.3906,0.3644,0.5693
