Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,0.01,l2,0.5435,0.5354,0.5435,0.5354,0.729
StandardScaler,0.01,l2,0.5492,0.5422,0.5492,0.5411,0.7289
RobustScaler,0.1,l2,0.548,0.5412,0.548,0.5401,0.7286
StandardScaler,0.1,l2,0.5469,0.5398,0.5469,0.539,0.7284
RobustScaler,1.0,l2,0.5475,0.5407,0.5475,0.5398,0.7284
StandardScaler,10.0,l2,0.5475,0.5408,0.5475,0.5398,0.7283
StandardScaler,1.0,l2,0.5475,0.5408,0.5475,0.5398,0.7283
RobustScaler,10.0,l2,0.5475,0.5408,0.5475,0.5398,0.7283
MinMaxScaler,10.0,l2,0.5475,0.5408,0.5475,0.5398,0.7282
MinMaxScaler,1.0,l2,0.5463,0.5394,0.5463,0.5384,0.7281
MinMaxScaler,0.1,l2,0.5424,0.5348,0.5424,0.5321,0.7261
NoScaler,1.0,l2,0.5321,0.5265,0.5321,0.5269,0.7224
NoScaler,0.01,l2,0.5293,0.5231,0.5293,0.5226,0.7214
NoScaler,10.0,l2,0.5327,0.5276,0.5327,0.5277,0.7206
NoScaler,0.1,l2,0.5293,0.5232,0.5293,0.5248,0.7169
MinMaxScaler,0.01,l2,0.519,0.5054,0.519,0.4923,0.7132
Normalizer,10.0,l2,0.4304,0.4267,0.4304,0.4111,0.6141
Normalizer,1.0,l2,0.4218,0.4182,0.4218,0.4014,0.6065
Normalizer,0.1,l2,0.4116,0.4059,0.4116,0.3882,0.6018
Normalizer,0.01,l2,0.4116,0.4111,0.4116,0.385,0.5902
