Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
RobustScaler,SGD_Hinge,0.7544,0.7568,0.9882,0.8571,0.7481,84,2,27,1
MinMaxScaler,LinearSVC,0.7281,0.7647,0.9176,0.8342,0.7314,78,5,24,7
StandardScaler,LinearSVC,0.7281,0.7647,0.9176,0.8342,0.7294,78,5,24,7
MinMaxScaler,SGD_SqHinge,0.7368,0.7434,0.9882,0.8485,0.7278,84,0,29,1
RobustScaler,LinearSVC,0.7544,0.7767,0.9412,0.8511,0.7225,80,6,23,5
NoScaler,LinearSVC,0.7456,0.7456,1.0,0.8543,0.7201,85,0,29,0
StandardScaler,SGD_SqHinge,0.7632,0.7736,0.9647,0.8586,0.7189,82,5,24,3
MinMaxScaler,SGD_Hinge,0.7456,0.7692,0.9412,0.8466,0.7144,80,5,24,5
NoScaler,SGD_Hinge,0.7544,0.7522,1.0,0.8586,0.7047,85,1,28,0
NoScaler,SGD_SqHinge,0.7456,0.7456,1.0,0.8543,0.6961,85,0,29,0
StandardScaler,SGD_Hinge,0.7018,0.7525,0.8941,0.8172,0.6945,76,4,25,9
Normalizer,SGD_SqHinge,0.7368,0.7619,0.9412,0.8421,0.6836,80,4,25,5
Normalizer,SGD_Hinge,0.7456,0.75,0.9882,0.8528,0.6677,84,1,28,1
Normalizer,LinearSVC,0.7544,0.7522,1.0,0.8586,0.6633,85,1,28,0
RobustScaler,SGD_SqHinge,0.7456,0.7456,1.0,0.8543,0.6572,85,0,29,0
