Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
MinMaxScaler,SGD_SqHinge,0.552,0.5451,0.552,0.5453,0.7238,,,,
StandardScaler,LinearSVC,0.5497,0.5419,0.5497,0.5436,0.7288,,,,
RobustScaler,LinearSVC,0.5497,0.5421,0.5497,0.5438,0.7289,,,,
MinMaxScaler,LinearSVC,0.5492,0.5413,0.5492,0.543,0.7288,,,,
StandardScaler,SGD_Hinge,0.5452,0.5425,0.5452,0.5409,0.7248,,,,
MinMaxScaler,SGD_Hinge,0.5452,0.5389,0.5452,0.5409,0.7268,,,,
RobustScaler,SGD_Hinge,0.5242,0.5204,0.5242,0.5203,0.7131,,,,
StandardScaler,SGD_SqHinge,0.5031,0.5016,0.5031,0.5003,0.6964,,,,
RobustScaler,SGD_SqHinge,0.4912,0.5008,0.4912,0.485,0.6903,,,,
Normalizer,SGD_SqHinge,0.4457,0.501,0.4457,0.3922,0.632,,,,
Normalizer,SGD_Hinge,0.4332,0.4354,0.4332,0.4273,0.6089,,,,
NoScaler,SGD_SqHinge,0.4275,0.4555,0.4275,0.3982,0.6039,,,,
Normalizer,LinearSVC,0.4167,0.415,0.4167,0.4046,0.6066,,,,
NoScaler,LinearSVC,0.4099,0.4561,0.4099,0.4054,0.6296,,,,
NoScaler,SGD_Hinge,0.4025,0.288,0.4025,0.3249,0.6027,,,,
