Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
StandardScaler,0.01,l2,0.5543,0.5494,0.5543,0.5512,0.7297
RobustScaler,0.1,l2,0.5543,0.5493,0.5543,0.5511,0.7295
MinMaxScaler,10.0,l2,0.5475,0.5422,0.5475,0.5441,0.7293
RobustScaler,10.0,l2,0.5503,0.5452,0.5503,0.5471,0.7293
StandardScaler,0.1,l2,0.5492,0.5441,0.5492,0.546,0.7293
RobustScaler,0.01,l2,0.5509,0.5463,0.5509,0.5481,0.7293
RobustScaler,1.0,l2,0.5497,0.5445,0.5497,0.5464,0.7293
StandardScaler,10.0,l2,0.5492,0.5439,0.5492,0.5458,0.7293
StandardScaler,1.0,l2,0.5492,0.5439,0.5492,0.5458,0.7293
MinMaxScaler,1.0,l2,0.5503,0.5449,0.5503,0.5468,0.7292
MinMaxScaler,0.1,l2,0.5452,0.5385,0.5452,0.5402,0.7273
MinMaxScaler,0.01,l2,0.5162,0.5022,0.5162,0.5026,0.7136
NoScaler,0.01,l2,0.5196,0.5176,0.5196,0.5168,0.7132
NoScaler,0.1,l2,0.5088,0.5107,0.5088,0.5063,0.7093
NoScaler,1.0,l2,0.4792,0.4888,0.4792,0.4792,0.6892
NoScaler,10.0,l2,0.4923,0.4856,0.4923,0.4855,0.6817
Normalizer,10.0,l2,0.4258,0.4231,0.4258,0.4151,0.6148
Normalizer,1.0,l2,0.419,0.4185,0.419,0.4058,0.6063
Normalizer,0.1,l2,0.4127,0.4213,0.4127,0.3937,0.6021
Normalizer,0.01,l2,0.3985,0.5155,0.3985,0.3354,0.5898
