Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
RobustScaler,LinearSVC,0.5545,0.5525,0.5545,0.5411,0.7399,,,,
StandardScaler,LinearSVC,0.5528,0.5504,0.5528,0.5396,0.7399,,,,
MinMaxScaler,LinearSVC,0.5523,0.5498,0.5523,0.5391,0.7399,,,,
RobustScaler,SGD_Hinge,0.5523,0.5536,0.5523,0.5389,0.7332,,,,
MinMaxScaler,SGD_SqHinge,0.5483,0.5522,0.5483,0.5274,0.7377,,,,
MinMaxScaler,SGD_Hinge,0.5432,0.5384,0.5432,0.5335,0.7353,,,,
StandardScaler,SGD_Hinge,0.5301,0.5227,0.5301,0.5204,0.7242,,,,
RobustScaler,SGD_SqHinge,0.5125,0.5135,0.5125,0.4981,0.6847,,,,
StandardScaler,SGD_SqHinge,0.5068,0.5009,0.5068,0.4909,0.6932,,,,
NoScaler,LinearSVC,0.5006,0.4911,0.5006,0.4897,0.6854,,,,
Normalizer,SGD_SqHinge,0.446,0.4534,0.446,0.4151,0.619,,,,
NoScaler,SGD_SqHinge,0.433,0.4355,0.433,0.4147,0.5975,,,,
NoScaler,SGD_Hinge,0.4301,0.4226,0.4301,0.4113,0.5997,,,,
Normalizer,SGD_Hinge,0.4188,0.4142,0.4188,0.406,0.6114,,,,
Normalizer,LinearSVC,0.4102,0.4154,0.4102,0.3881,0.6043,,,,
