Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
MinMaxScaler,LinearSVC,0.5486,0.5412,0.5486,0.5373,0.7276,,,,
StandardScaler,LinearSVC,0.548,0.5404,0.548,0.5366,0.7276,,,,
RobustScaler,LinearSVC,0.5469,0.5394,0.5469,0.5357,0.7277,,,,
MinMaxScaler,SGD_Hinge,0.5424,0.5337,0.5424,0.5348,0.7201,,,,
MinMaxScaler,SGD_SqHinge,0.5298,0.5234,0.5298,0.5179,0.7174,,,,
StandardScaler,SGD_Hinge,0.5213,0.511,0.5213,0.5128,0.7115,,,,
RobustScaler,SGD_Hinge,0.5139,0.5021,0.5139,0.5032,0.7077,,,,
StandardScaler,SGD_SqHinge,0.4974,0.4961,0.4974,0.4942,0.701,,,,
NoScaler,LinearSVC,0.4912,0.4795,0.4912,0.4774,0.6497,,,,
RobustScaler,SGD_SqHinge,0.4804,0.4639,0.4804,0.4635,0.6681,,,,
Normalizer,SGD_SqHinge,0.44,0.4457,0.44,0.4102,0.6351,,,,
Normalizer,SGD_Hinge,0.4252,0.4181,0.4252,0.4161,0.6043,,,,
Normalizer,LinearSVC,0.4207,0.4167,0.4207,0.3983,0.6058,,,,
NoScaler,SGD_Hinge,0.4173,0.3985,0.4173,0.388,0.6037,,,,
NoScaler,SGD_SqHinge,0.3934,0.3842,0.3934,0.3811,0.5752,,,,
