Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
RobustScaler,SGD_SqHinge,0.7632,0.7632,1.0,0.8657,0.8276,87,0,27,0
StandardScaler,LinearSVC,0.7895,0.8058,0.954,0.8737,0.8267,83,7,20,4
RobustScaler,LinearSVC,0.7807,0.7981,0.954,0.8691,0.825,83,6,21,4
NoScaler,LinearSVC,0.7632,0.7632,1.0,0.8657,0.8225,87,0,27,0
MinMaxScaler,LinearSVC,0.7544,0.7864,0.931,0.8526,0.8186,81,5,22,6
RobustScaler,SGD_Hinge,0.7632,0.7632,1.0,0.8657,0.8186,87,0,27,0
Normalizer,SGD_SqHinge,0.7807,0.8229,0.908,0.8634,0.8097,79,10,17,8
StandardScaler,SGD_SqHinge,0.7632,0.7632,1.0,0.8657,0.8089,87,0,27,0
MinMaxScaler,SGD_SqHinge,0.7632,0.7632,1.0,0.8657,0.808,87,0,27,0
NoScaler,SGD_SqHinge,0.7632,0.7632,1.0,0.8657,0.8063,87,0,27,0
MinMaxScaler,SGD_Hinge,0.7368,0.7767,0.9195,0.8421,0.8059,80,4,23,7
StandardScaler,SGD_Hinge,0.7632,0.7632,1.0,0.8657,0.788,87,0,27,0
NoScaler,SGD_Hinge,0.7632,0.7632,1.0,0.8657,0.7616,87,0,27,0
Normalizer,SGD_Hinge,0.7632,0.7632,1.0,0.8657,0.7505,87,0,27,0
Normalizer,LinearSVC,0.7632,0.7632,1.0,0.8657,0.6935,87,0,27,0
