Fold,Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
5,StandardScaler,LinearSVC,0.7037,0.7619,0.5926,0.6667,0.7567,48,66,15,33
5,StandardScaler,SGD_Hinge,0.6975,0.75,0.5926,0.6621,0.7506,48,65,16,33
5,StandardScaler,SGD_SqHinge,0.716,0.7966,0.5802,0.6714,0.7414,47,69,12,34
5,MinMaxScaler,LinearSVC,0.7037,0.7619,0.5926,0.6667,0.7456,48,66,15,33
5,MinMaxScaler,SGD_Hinge,0.6975,0.75,0.5926,0.6621,0.7485,48,65,16,33
5,MinMaxScaler,SGD_SqHinge,0.679,0.7544,0.5309,0.6232,0.7414,43,67,14,38
5,RobustScaler,LinearSVC,0.7037,0.7619,0.5926,0.6667,0.7569,48,66,15,33
5,RobustScaler,SGD_Hinge,0.716,0.7966,0.5802,0.6714,0.7412,47,69,12,34
5,RobustScaler,SGD_SqHinge,0.7037,0.8113,0.5309,0.6418,0.7154,43,71,10,38
5,Normalizer,LinearSVC,0.6975,0.7857,0.5432,0.6423,0.7328,44,69,12,37
5,Normalizer,SGD_Hinge,0.6914,0.7925,0.5185,0.6269,0.7673,42,70,11,39
5,Normalizer,SGD_SqHinge,0.679,0.7544,0.5309,0.6232,0.7164,43,67,14,38
