Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
Normalizer,SGD_SqHinge,0.7105,0.7129,0.9474,0.8136,0.7836,72,9,29,4
NoScaler,LinearSVC,0.6667,0.6667,1.0,0.8,0.7552,76,0,38,0
MinMaxScaler,LinearSVC,0.6491,0.6731,0.9211,0.7778,0.7528,70,4,34,6
RobustScaler,LinearSVC,0.6667,0.6827,0.9342,0.7889,0.7479,71,5,33,5
StandardScaler,LinearSVC,0.6667,0.6827,0.9342,0.7889,0.7472,71,5,33,5
MinMaxScaler,SGD_SqHinge,0.6404,0.6606,0.9474,0.7784,0.7313,72,1,37,4
RobustScaler,SGD_SqHinge,0.6667,0.6667,1.0,0.8,0.7285,76,0,38,0
MinMaxScaler,SGD_Hinge,0.6491,0.6698,0.9342,0.7802,0.7265,71,3,35,5
RobustScaler,SGD_Hinge,0.6667,0.6667,1.0,0.8,0.7143,76,0,38,0
Normalizer,SGD_Hinge,0.6579,0.6637,0.9868,0.7937,0.6911,75,0,38,1
NoScaler,SGD_SqHinge,0.6667,0.6667,1.0,0.8,0.6887,76,0,38,0
NoScaler,SGD_Hinge,0.6667,0.6667,1.0,0.8,0.6762,76,0,38,0
Normalizer,LinearSVC,0.6667,0.6667,1.0,0.8,0.6482,76,0,38,0
StandardScaler,SGD_Hinge,0.6491,0.6607,0.9737,0.7872,0.6389,74,0,38,2
StandardScaler,SGD_SqHinge,0.6491,0.6607,0.9737,0.7872,0.6219,74,0,38,2
