Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
StandardScaler,LinearSVC,0.6491,0.8654,0.5769,0.6923,0.7276,45,29,7,33
RobustScaler,LinearSVC,0.6491,0.8654,0.5769,0.6923,0.7265,45,29,7,33
RobustScaler,SGD_Hinge,0.6316,0.875,0.5385,0.6667,0.7236,42,30,6,36
StandardScaler,SGD_Hinge,0.6228,0.8571,0.5385,0.6614,0.7187,42,29,7,36
MinMaxScaler,SGD_Hinge,0.6579,0.8421,0.6154,0.7111,0.7162,48,27,9,30
MinMaxScaler,SGD_SqHinge,0.6316,0.86,0.5513,0.6719,0.7155,43,29,7,35
MinMaxScaler,LinearSVC,0.6228,0.8431,0.5513,0.6667,0.708,43,28,8,35
Normalizer,SGD_SqHinge,0.6579,0.8421,0.6154,0.7111,0.6952,48,27,9,30
RobustScaler,SGD_SqHinge,0.6316,0.86,0.5513,0.6719,0.6909,43,29,7,35
Normalizer,SGD_Hinge,0.614,0.8036,0.5769,0.6716,0.683,45,25,11,33
NoScaler,SGD_SqHinge,0.5877,0.8605,0.4744,0.6116,0.6809,37,30,6,41
NoScaler,SGD_Hinge,0.6228,0.8571,0.5385,0.6614,0.6756,42,29,7,36
NoScaler,LinearSVC,0.5965,0.881,0.4744,0.6167,0.6745,37,31,5,41
Normalizer,LinearSVC,0.614,0.8148,0.5641,0.6667,0.6613,44,26,10,34
StandardScaler,SGD_SqHinge,0.5614,0.85,0.4359,0.5763,0.6485,34,30,6,44
