Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
StandardScaler,LinearSVC,0.5551,0.5493,0.5551,0.5445,0.7406,,,,
MinMaxScaler,LinearSVC,0.554,0.5481,0.554,0.5434,0.7406,,,,
RobustScaler,LinearSVC,0.554,0.5481,0.554,0.5434,0.7406,,,,
MinMaxScaler,SGD_SqHinge,0.5472,0.5391,0.5472,0.5386,0.7343,,,,
MinMaxScaler,SGD_Hinge,0.5409,0.5332,0.5409,0.534,0.7319,,,,
RobustScaler,SGD_Hinge,0.5392,0.5327,0.5392,0.5308,0.728,,,,
StandardScaler,SGD_Hinge,0.5307,0.5225,0.5307,0.5219,0.7225,,,,
RobustScaler,SGD_SqHinge,0.5131,0.5219,0.5131,0.5026,0.6796,,,,
StandardScaler,SGD_SqHinge,0.5028,0.4961,0.5028,0.4926,0.7082,,,,
NoScaler,LinearSVC,0.4756,0.4124,0.4756,0.4086,0.6726,,,,
Normalizer,SGD_SqHinge,0.4562,0.4888,0.4562,0.4326,0.6194,,,,
NoScaler,SGD_Hinge,0.4256,0.4201,0.4256,0.4174,0.5919,,,,
NoScaler,SGD_SqHinge,0.4239,0.4214,0.4239,0.4112,0.6019,,,,
Normalizer,SGD_Hinge,0.4227,0.4192,0.4227,0.4111,0.6128,,,,
Normalizer,LinearSVC,0.4023,0.4007,0.4023,0.3869,0.6043,,,,
