Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,0.01,l2,0.7632,0.7632,1.0,0.8657,0.8497
RobustScaler,0.1,l2,0.7807,0.7981,0.954,0.8691,0.8404
NoScaler,1.0,l2,0.807,0.8283,0.9425,0.8817,0.8361
NoScaler,0.1,l2,0.7895,0.8119,0.9425,0.8723,0.8357
StandardScaler,1.0,l2,0.7895,0.8119,0.9425,0.8723,0.8344
StandardScaler,10.0,l2,0.8158,0.8367,0.9425,0.8865,0.834
RobustScaler,1.0,l2,0.7982,0.82,0.9425,0.877,0.8335
RobustScaler,10.0,l2,0.8158,0.8367,0.9425,0.8865,0.8335
NoScaler,10.0,l2,0.8158,0.8367,0.9425,0.8865,0.8335
StandardScaler,0.1,l2,0.7544,0.7757,0.954,0.8557,0.8323
MinMaxScaler,10.0,l2,0.7632,0.7885,0.9425,0.8586,0.831
NoScaler,0.01,l2,0.7807,0.7981,0.954,0.8691,0.8306
StandardScaler,0.01,l2,0.7632,0.7632,1.0,0.8657,0.8144
MinMaxScaler,1.0,l2,0.7632,0.7679,0.9885,0.8643,0.7995
MinMaxScaler,0.1,l2,0.7632,0.7632,1.0,0.8657,0.7195
Normalizer,10.0,l2,0.7632,0.7632,1.0,0.8657,0.7139
MinMaxScaler,0.01,l2,0.7632,0.7632,1.0,0.8657,0.6867
Normalizer,1.0,l2,0.7632,0.7632,1.0,0.8657,0.6343
Normalizer,0.1,l2,0.7632,0.7632,1.0,0.8657,0.6105
Normalizer,0.01,l2,0.7632,0.7632,1.0,0.8657,0.6062
