Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,0.01,l2,0.6579,0.9111,0.5395,0.6777,0.7483
NoScaler,0.01,l2,0.6842,0.9,0.5921,0.7143,0.7469
StandardScaler,0.01,l2,0.7105,0.9057,0.6316,0.7442,0.742
RobustScaler,0.1,l2,0.693,0.902,0.6053,0.7244,0.7417
NoScaler,1.0,l2,0.693,0.8868,0.6184,0.7287,0.7361
RobustScaler,1.0,l2,0.693,0.8868,0.6184,0.7287,0.7358
StandardScaler,1.0,l2,0.693,0.8868,0.6184,0.7287,0.7358
NoScaler,0.1,l2,0.6754,0.8824,0.5921,0.7087,0.7351
StandardScaler,0.1,l2,0.6754,0.8421,0.6316,0.7218,0.7337
MinMaxScaler,10.0,l2,0.6842,0.8448,0.6447,0.7313,0.7316
NoScaler,10.0,l2,0.6404,0.8302,0.5789,0.6822,0.731
StandardScaler,10.0,l2,0.6404,0.8302,0.5789,0.6822,0.7306
RobustScaler,10.0,l2,0.6316,0.8148,0.5789,0.6769,0.7303
MinMaxScaler,1.0,l2,0.6667,0.7794,0.6974,0.7361,0.7175
MinMaxScaler,0.1,l2,0.6579,0.7284,0.7763,0.7516,0.6991
MinMaxScaler,0.01,l2,0.5789,0.6628,0.75,0.7037,0.6835
Normalizer,10.0,l2,0.6053,0.8298,0.5132,0.6341,0.6801
Normalizer,1.0,l2,0.5175,0.8,0.3684,0.5045,0.6382
Normalizer,0.1,l2,0.5,0.7879,0.3421,0.4771,0.6008
Normalizer,0.01,l2,0.5,0.8065,0.3289,0.4673,0.5914
