Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
RobustScaler,LinearSVC,0.5475,0.5412,0.5475,0.5398,0.7328,,,,
StandardScaler,LinearSVC,0.5458,0.5396,0.5458,0.5381,0.7328,,,,
MinMaxScaler,LinearSVC,0.5458,0.5394,0.5458,0.5379,0.7328,,,,
MinMaxScaler,SGD_SqHinge,0.5441,0.5411,0.5441,0.5345,0.7291,,,,
StandardScaler,SGD_Hinge,0.5435,0.5415,0.5435,0.5406,0.7249,,,,
RobustScaler,SGD_Hinge,0.5412,0.5401,0.5412,0.5382,0.7192,,,,
MinMaxScaler,SGD_Hinge,0.5389,0.5326,0.5389,0.5321,0.7308,,,,
NoScaler,LinearSVC,0.5065,0.5005,0.5065,0.5024,0.6903,,,,
RobustScaler,SGD_SqHinge,0.5014,0.5037,0.5014,0.486,0.7006,,,,
StandardScaler,SGD_SqHinge,0.4883,0.4847,0.4883,0.4863,0.6954,,,,
Normalizer,SGD_Hinge,0.4338,0.4285,0.4338,0.4265,0.6265,,,,
NoScaler,SGD_Hinge,0.4304,0.448,0.4304,0.4097,0.6301,,,,
NoScaler,SGD_SqHinge,0.4298,0.4294,0.4298,0.4276,0.5959,,,,
Normalizer,SGD_SqHinge,0.423,0.4454,0.423,0.3937,0.6208,,,,
Normalizer,LinearSVC,0.4184,0.4117,0.4184,0.4024,0.6186,,,,
