Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
StandardScaler,0.01,l2,0.5361,0.5324,0.5361,0.5305,0.7245
RobustScaler,0.1,l2,0.5389,0.5351,0.5389,0.5335,0.7243
StandardScaler,0.1,l2,0.5384,0.5347,0.5384,0.533,0.7242
MinMaxScaler,10.0,l2,0.5395,0.5355,0.5395,0.534,0.7241
RobustScaler,10.0,l2,0.5401,0.5362,0.5401,0.5345,0.7241
RobustScaler,0.01,l2,0.5333,0.5293,0.5333,0.5287,0.7241
RobustScaler,1.0,l2,0.5401,0.5362,0.5401,0.5345,0.7241
StandardScaler,10.0,l2,0.5395,0.5355,0.5395,0.5339,0.7241
StandardScaler,1.0,l2,0.5395,0.5355,0.5395,0.5339,0.7241
MinMaxScaler,1.0,l2,0.5361,0.5324,0.5361,0.5308,0.7239
MinMaxScaler,0.1,l2,0.5287,0.523,0.5287,0.5202,0.7215
NoScaler,1.0,l2,0.5264,0.5243,0.5264,0.5242,0.7203
NoScaler,0.01,l2,0.5401,0.5372,0.5401,0.5382,0.7187
NoScaler,10.0,l2,0.5327,0.5261,0.5327,0.523,0.7157
MinMaxScaler,0.01,l2,0.5088,0.4974,0.5088,0.4825,0.7061
NoScaler,0.1,l2,0.477,0.484,0.477,0.4791,0.6697
Normalizer,10.0,l2,0.4002,0.3931,0.4002,0.3841,0.5989
Normalizer,1.0,l2,0.3945,0.3904,0.3945,0.3774,0.5918
Normalizer,0.1,l2,0.3957,0.4008,0.3957,0.3765,0.5857
Normalizer,0.01,l2,0.3815,0.4629,0.3815,0.3267,0.5684
