Fold,Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
4,Normalizer,SGD_SqHinge,0.3423,0.3423,0.3423,0.3239,0.5326,,,,
5,NoScaler,LinearSVC,0.3348,0.3354,0.3348,0.3321,0.5224,,,,
5,NoScaler,SGD_Hinge,0.3518,0.3731,0.3518,0.321,0.5309,,,,
5,NoScaler,SGD_SqHinge,0.348,0.369,0.348,0.3075,0.5232,,,,
5,StandardScaler,LinearSVC,0.3419,0.3481,0.3419,0.3347,0.5234,,,,
5,StandardScaler,SGD_Hinge,0.3397,0.3479,0.3397,0.3295,0.5234,,,,
5,StandardScaler,SGD_SqHinge,0.3353,0.3363,0.3353,0.3338,0.5246,,,,
5,MinMaxScaler,LinearSVC,0.3425,0.3485,0.3425,0.3352,0.5234,,,,
5,MinMaxScaler,SGD_Hinge,0.3397,0.3462,0.3397,0.3324,0.5222,,,,
5,MinMaxScaler,SGD_SqHinge,0.343,0.3496,0.343,0.3352,0.5238,,,,
5,RobustScaler,LinearSVC,0.3419,0.3481,0.3419,0.3347,0.5233,,,,
5,RobustScaler,SGD_Hinge,0.3655,0.3826,0.3655,0.3472,0.5284,,,,
5,RobustScaler,SGD_SqHinge,0.3447,0.3572,0.3447,0.33,0.5282,,,,
5,Normalizer,LinearSVC,0.3332,0.3281,0.3332,0.3252,0.5092,,,,
5,Normalizer,SGD_Hinge,0.3332,0.3029,0.3332,0.2871,0.5072,,,,
5,Normalizer,SGD_SqHinge,0.3452,0.301,0.3452,0.2838,0.5085,,,,
