Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
MinMaxScaler,SGD_Hinge,0.5378,0.5319,0.5378,0.5299,0.7295,,,,
MinMaxScaler,LinearSVC,0.5298,0.5217,0.5298,0.5213,0.7336,,,,
StandardScaler,LinearSVC,0.5293,0.5215,0.5293,0.5212,0.7337,,,,
RobustScaler,LinearSVC,0.5281,0.5199,0.5281,0.5197,0.7337,,,,
StandardScaler,SGD_Hinge,0.5242,0.5172,0.5242,0.5178,0.7235,,,,
MinMaxScaler,SGD_SqHinge,0.5185,0.5102,0.5185,0.5121,0.7197,,,,
RobustScaler,SGD_Hinge,0.5122,0.5031,0.5122,0.5054,0.7206,,,,
NoScaler,LinearSVC,0.4838,0.5395,0.4838,0.4403,0.6822,,,,
StandardScaler,SGD_SqHinge,0.4827,0.4816,0.4827,0.478,0.6642,,,,
Normalizer,SGD_Hinge,0.4429,0.4397,0.4429,0.4376,0.6209,,,,
NoScaler,SGD_Hinge,0.44,0.4892,0.44,0.4111,0.6168,,,,
RobustScaler,SGD_SqHinge,0.4389,0.4452,0.4389,0.4319,0.6461,,,,
NoScaler,SGD_SqHinge,0.4377,0.4442,0.4377,0.4362,0.6123,,,,
Normalizer,LinearSVC,0.4298,0.4275,0.4298,0.4177,0.6212,,,,
Normalizer,SGD_SqHinge,0.423,0.4555,0.423,0.3836,0.6316,,,,
