Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,10.0,l2,0.6316,0.8333,0.5769,0.6818,0.7269
StandardScaler,10.0,l2,0.6316,0.8333,0.5769,0.6818,0.7269
NoScaler,10.0,l2,0.6316,0.8333,0.5769,0.6818,0.7265
StandardScaler,1.0,l2,0.6404,0.8491,0.5769,0.687,0.7265
RobustScaler,1.0,l2,0.6316,0.8333,0.5769,0.6818,0.7261
NoScaler,0.1,l2,0.6579,0.8824,0.5769,0.6977,0.7258
NoScaler,1.0,l2,0.6404,0.8491,0.5769,0.687,0.7258
NoScaler,0.01,l2,0.6228,0.8571,0.5385,0.6614,0.7254
StandardScaler,0.1,l2,0.6316,0.86,0.5513,0.6719,0.7215
RobustScaler,0.1,l2,0.6491,0.8654,0.5769,0.6923,0.7212
StandardScaler,0.01,l2,0.614,0.8542,0.5256,0.6508,0.7144
RobustScaler,0.01,l2,0.6316,0.86,0.5513,0.6719,0.7108
MinMaxScaler,10.0,l2,0.614,0.8542,0.5256,0.6508,0.7083
MinMaxScaler,1.0,l2,0.6404,0.8627,0.5641,0.6822,0.7055
MinMaxScaler,0.1,l2,0.6667,0.8226,0.6538,0.7286,0.7005
Normalizer,10.0,l2,0.6053,0.8235,0.5385,0.6512,0.683
MinMaxScaler,0.01,l2,0.6491,0.7375,0.7564,0.7468,0.6809
Normalizer,0.1,l2,0.5263,0.8,0.4103,0.5424,0.6517
Normalizer,1.0,l2,0.5702,0.7959,0.5,0.6142,0.651
Normalizer,0.01,l2,0.5351,0.8049,0.4231,0.5546,0.6446
