Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,0.01,l2,0.7368,0.9672,0.6782,0.7973,0.837
RobustScaler,0.1,l2,0.7281,0.9516,0.6782,0.7919,0.828
NoScaler,0.01,l2,0.7193,0.9104,0.7011,0.7922,0.8255
NoScaler,0.1,l2,0.7368,0.9385,0.7011,0.8026,0.8229
NoScaler,1.0,l2,0.7544,0.9403,0.7241,0.8182,0.8182
RobustScaler,1.0,l2,0.7544,0.9403,0.7241,0.8182,0.8169
NoScaler,10.0,l2,0.7368,0.9254,0.7126,0.8052,0.814
StandardScaler,1.0,l2,0.7281,0.9242,0.7011,0.7974,0.814
RobustScaler,10.0,l2,0.7456,0.9265,0.7241,0.8129,0.8135
StandardScaler,10.0,l2,0.7368,0.9254,0.7126,0.8052,0.8135
StandardScaler,0.1,l2,0.7281,0.9242,0.7011,0.7974,0.8118
MinMaxScaler,10.0,l2,0.7281,0.9242,0.7011,0.7974,0.8037
StandardScaler,0.01,l2,0.7281,0.9375,0.6897,0.7947,0.7961
MinMaxScaler,1.0,l2,0.693,0.8824,0.6897,0.7742,0.7654
Normalizer,10.0,l2,0.5439,0.907,0.4483,0.6,0.7318
MinMaxScaler,0.1,l2,0.6579,0.8158,0.7126,0.7607,0.705
MinMaxScaler,0.01,l2,0.6228,0.7683,0.7241,0.7456,0.6624
Normalizer,1.0,l2,0.5351,0.8864,0.4483,0.5954,0.6245
Normalizer,0.1,l2,0.5263,0.8667,0.4483,0.5909,0.6054
Normalizer,0.01,l2,0.5263,0.8667,0.4483,0.5909,0.602
