Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
MinMaxScaler,SGD_SqHinge,0.693,0.6937,0.9872,0.8148,0.7439,77,2,34,1
StandardScaler,LinearSVC,0.7368,0.7353,0.9615,0.8333,0.7261,75,9,27,3
RobustScaler,LinearSVC,0.7193,0.7212,0.9615,0.8242,0.7226,75,7,29,3
RobustScaler,SGD_Hinge,0.6754,0.6814,0.9872,0.8063,0.7155,77,0,36,1
MinMaxScaler,SGD_Hinge,0.7018,0.7115,0.9487,0.8132,0.7098,74,6,30,4
RobustScaler,SGD_SqHinge,0.6754,0.6847,0.9744,0.8042,0.7016,76,1,35,2
MinMaxScaler,LinearSVC,0.693,0.7048,0.9487,0.8087,0.6948,74,5,31,4
Normalizer,SGD_SqHinge,0.6667,0.7083,0.8718,0.7816,0.6934,68,8,28,10
Normalizer,SGD_Hinge,0.6754,0.6881,0.9615,0.8021,0.6884,75,2,34,3
NoScaler,SGD_SqHinge,0.6842,0.6842,1.0,0.8125,0.6788,78,0,36,0
StandardScaler,SGD_Hinge,0.6842,0.6842,1.0,0.8125,0.6734,78,0,36,0
StandardScaler,SGD_SqHinge,0.6842,0.6842,1.0,0.8125,0.6688,78,0,36,0
NoScaler,SGD_Hinge,0.6842,0.6842,1.0,0.8125,0.6595,78,0,36,0
Normalizer,LinearSVC,0.693,0.6937,0.9872,0.8148,0.6581,77,2,34,1
NoScaler,LinearSVC,0.6842,0.6842,1.0,0.8125,0.5007,78,0,36,0
