Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
RobustScaler,SGD_SqHinge,0.5789,0.8936,0.4941,0.6364,0.7611,42,24,5,43
StandardScaler,LinearSVC,0.6404,0.8793,0.6,0.7133,0.7509,51,22,7,34
StandardScaler,SGD_Hinge,0.5877,0.8958,0.5059,0.6466,0.7456,43,24,5,42
MinMaxScaler,LinearSVC,0.693,0.8676,0.6941,0.7712,0.7448,59,20,9,26
RobustScaler,LinearSVC,0.6579,0.9107,0.6,0.7234,0.7444,51,24,5,34
MinMaxScaler,SGD_Hinge,0.6404,0.8667,0.6118,0.7172,0.7432,52,21,8,33
NoScaler,LinearSVC,0.5614,0.8431,0.5059,0.6324,0.7359,43,21,8,42
MinMaxScaler,SGD_SqHinge,0.5439,0.8837,0.4471,0.5938,0.7193,38,24,5,47
NoScaler,SGD_SqHinge,0.5175,0.8261,0.4471,0.5802,0.716,38,21,8,47
NoScaler,SGD_Hinge,0.5439,0.8367,0.4824,0.6119,0.7116,41,21,8,44
StandardScaler,SGD_SqHinge,0.5702,0.9091,0.4706,0.6202,0.7083,40,25,4,45
RobustScaler,SGD_Hinge,0.5526,0.8864,0.4588,0.6047,0.7067,39,24,5,46
Normalizer,SGD_SqHinge,0.5877,0.8519,0.5412,0.6619,0.6779,46,21,8,39
Normalizer,SGD_Hinge,0.5175,0.8,0.4706,0.5926,0.643,40,19,10,45
Normalizer,LinearSVC,0.5439,0.8235,0.4941,0.6176,0.6304,42,20,9,43
