Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,0.01,l2,0.7368,0.7551,0.925,0.8315,0.7268
RobustScaler,0.01,l2,0.7018,0.7018,1.0,0.8247,0.7191
StandardScaler,0.1,l2,0.7018,0.7212,0.9375,0.8152,0.7132
StandardScaler,1.0,l2,0.6842,0.7245,0.8875,0.7978,0.7125
StandardScaler,10.0,l2,0.693,0.732,0.8875,0.8023,0.7125
NoScaler,0.1,l2,0.7018,0.7347,0.9,0.809,0.7125
RobustScaler,0.1,l2,0.693,0.7228,0.9125,0.8066,0.7121
RobustScaler,10.0,l2,0.693,0.732,0.8875,0.8023,0.7121
NoScaler,10.0,l2,0.6842,0.7292,0.875,0.7955,0.7114
RobustScaler,1.0,l2,0.693,0.732,0.8875,0.8023,0.7085
NoScaler,1.0,l2,0.693,0.732,0.8875,0.8023,0.7074
MinMaxScaler,10.0,l2,0.7018,0.7255,0.925,0.8132,0.7059
StandardScaler,0.01,l2,0.693,0.6991,0.9875,0.8187,0.6974
MinMaxScaler,1.0,l2,0.693,0.6991,0.9875,0.8187,0.6934
MinMaxScaler,0.1,l2,0.7018,0.7018,1.0,0.8247,0.6794
MinMaxScaler,0.01,l2,0.7018,0.7018,1.0,0.8247,0.6673
Normalizer,10.0,l2,0.7018,0.7018,1.0,0.8247,0.6419
Normalizer,1.0,l2,0.7018,0.7018,1.0,0.8247,0.6081
Normalizer,0.1,l2,0.7018,0.7018,1.0,0.8247,0.5996
Normalizer,0.01,l2,0.7018,0.7018,1.0,0.8247,0.5941
