Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,0.01,l2,0.6491,0.8814,0.6118,0.7222,0.7627
NoScaler,0.1,l2,0.6404,0.8793,0.6,0.7133,0.7594
RobustScaler,0.1,l2,0.6404,0.8793,0.6,0.7133,0.7586
NoScaler,1.0,l2,0.6579,0.8833,0.6235,0.731,0.7578
RobustScaler,0.01,l2,0.5877,0.8654,0.5294,0.6569,0.7566
RobustScaler,1.0,l2,0.6404,0.8793,0.6,0.7133,0.7554
StandardScaler,1.0,l2,0.6667,0.873,0.6471,0.7432,0.7554
StandardScaler,0.1,l2,0.6842,0.8769,0.6706,0.76,0.7546
StandardScaler,10.0,l2,0.6491,0.8689,0.6235,0.726,0.7525
MinMaxScaler,10.0,l2,0.7018,0.8806,0.6941,0.7763,0.7473
RobustScaler,10.0,l2,0.6404,0.8793,0.6,0.7133,0.7424
NoScaler,10.0,l2,0.6404,0.8793,0.6,0.7133,0.7424
StandardScaler,0.01,l2,0.6754,0.875,0.6588,0.7517,0.7278
MinMaxScaler,1.0,l2,0.6754,0.8636,0.6706,0.755,0.7241
MinMaxScaler,0.1,l2,0.6491,0.7848,0.7294,0.7561,0.6698
Normalizer,10.0,l2,0.5263,0.8298,0.4588,0.5909,0.6556
Normalizer,0.1,l2,0.4561,0.8485,0.3294,0.4746,0.6475
MinMaxScaler,0.01,l2,0.7105,0.7826,0.8471,0.8136,0.6454
Normalizer,1.0,l2,0.4561,0.8108,0.3529,0.4918,0.6434
Normalizer,0.01,l2,0.4474,0.8438,0.3176,0.4615,0.6377
