Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,10.0,l2,0.7193,0.7447,0.8974,0.814,0.7222
StandardScaler,10.0,l2,0.7281,0.7474,0.9103,0.8208,0.7222
RobustScaler,10.0,l2,0.7193,0.7447,0.8974,0.814,0.7215
NoScaler,0.01,l2,0.693,0.7263,0.8846,0.7977,0.7212
NoScaler,1.0,l2,0.7193,0.7447,0.8974,0.814,0.7176
RobustScaler,1.0,l2,0.7193,0.7396,0.9103,0.8161,0.7176
NoScaler,0.1,l2,0.7105,0.7368,0.8974,0.8092,0.7162
StandardScaler,1.0,l2,0.7193,0.7396,0.9103,0.8161,0.7137
RobustScaler,0.1,l2,0.7105,0.7228,0.9359,0.8156,0.7105
RobustScaler,0.01,l2,0.6842,0.6842,1.0,0.8125,0.7066
StandardScaler,0.1,l2,0.693,0.7009,0.9615,0.8108,0.7019
MinMaxScaler,10.0,l2,0.693,0.7009,0.9615,0.8108,0.6994
MinMaxScaler,0.01,l2,0.6842,0.6842,1.0,0.8125,0.6994
MinMaxScaler,0.1,l2,0.6842,0.6842,1.0,0.8125,0.6955
StandardScaler,0.01,l2,0.6842,0.6842,1.0,0.8125,0.6898
MinMaxScaler,1.0,l2,0.693,0.6903,1.0,0.8168,0.6877
Normalizer,10.0,l2,0.6842,0.6842,1.0,0.8125,0.6727
Normalizer,1.0,l2,0.6842,0.6842,1.0,0.8125,0.651
Normalizer,0.1,l2,0.6842,0.6842,1.0,0.8125,0.6506
Normalizer,0.01,l2,0.6842,0.6842,1.0,0.8125,0.6489
