Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,0.01,l2,0.5412,0.537,0.5412,0.5328,0.7345
RobustScaler,0.1,l2,0.5458,0.5425,0.5458,0.5377,0.7336
StandardScaler,0.01,l2,0.5441,0.5399,0.5441,0.5348,0.7333
RobustScaler,10.0,l2,0.5452,0.5426,0.5452,0.5377,0.7332
StandardScaler,0.1,l2,0.5458,0.5428,0.5458,0.5379,0.7332
RobustScaler,1.0,l2,0.5458,0.5431,0.5458,0.5382,0.7332
StandardScaler,10.0,l2,0.5458,0.5432,0.5458,0.5381,0.7332
StandardScaler,1.0,l2,0.5458,0.5432,0.5458,0.5381,0.7332
MinMaxScaler,10.0,l2,0.5458,0.5428,0.5458,0.538,0.7331
MinMaxScaler,1.0,l2,0.5446,0.5411,0.5446,0.5359,0.7326
MinMaxScaler,0.1,l2,0.5401,0.5361,0.5401,0.5277,0.7279
NoScaler,1.0,l2,0.5293,0.5277,0.5293,0.5231,0.7257
NoScaler,0.01,l2,0.5264,0.5231,0.5264,0.519,0.7246
NoScaler,0.1,l2,0.5298,0.5264,0.5298,0.5235,0.7229
NoScaler,10.0,l2,0.5276,0.5244,0.5276,0.5245,0.7184
MinMaxScaler,0.01,l2,0.5117,0.4964,0.5117,0.4819,0.709
Normalizer,10.0,l2,0.4304,0.4233,0.4304,0.4054,0.6219
Normalizer,1.0,l2,0.4207,0.4128,0.4207,0.3957,0.6173
Normalizer,0.1,l2,0.4127,0.4092,0.4127,0.3877,0.6118
Normalizer,0.01,l2,0.4161,0.4247,0.4161,0.3871,0.5883
