Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,0.01,l2,0.5298,0.5241,0.5298,0.5215,0.736
StandardScaler,0.01,l2,0.5344,0.5281,0.5344,0.5252,0.7359
RobustScaler,0.1,l2,0.5333,0.5265,0.5333,0.5242,0.7358
MinMaxScaler,10.0,l2,0.5327,0.5258,0.5327,0.5232,0.7356
StandardScaler,0.1,l2,0.5327,0.5259,0.5327,0.5234,0.7356
RobustScaler,1.0,l2,0.5327,0.5259,0.5327,0.5234,0.7356
StandardScaler,10.0,l2,0.5321,0.5253,0.5321,0.5227,0.7356
StandardScaler,1.0,l2,0.5321,0.5253,0.5321,0.5227,0.7356
RobustScaler,10.0,l2,0.5316,0.5247,0.5316,0.5222,0.7355
MinMaxScaler,1.0,l2,0.5304,0.5233,0.5304,0.5206,0.7354
MinMaxScaler,0.1,l2,0.5333,0.5267,0.5333,0.5189,0.7329
NoScaler,10.0,l2,0.5287,0.5227,0.5287,0.5161,0.7266
NoScaler,0.01,l2,0.531,0.5262,0.531,0.5233,0.725
NoScaler,0.1,l2,0.5293,0.5237,0.5293,0.5226,0.7217
MinMaxScaler,0.01,l2,0.5134,0.4994,0.5134,0.485,0.7171
NoScaler,1.0,l2,0.4952,0.4844,0.4952,0.4678,0.6787
Normalizer,10.0,l2,0.4406,0.4356,0.4406,0.4177,0.6276
Normalizer,1.0,l2,0.4252,0.42,0.4252,0.4022,0.621
Normalizer,0.1,l2,0.4167,0.4108,0.4167,0.3942,0.618
Normalizer,0.01,l2,0.4105,0.4079,0.4105,0.3874,0.6088
