Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
Normalizer,SGD_SqHinge,0.6842,0.8846,0.6053,0.7188,0.7947,46,32,6,30
MinMaxScaler,SGD_SqHinge,0.6579,0.9302,0.5263,0.6723,0.7514,40,35,3,36
RobustScaler,SGD_Hinge,0.6404,0.8889,0.5263,0.6612,0.7417,40,33,5,36
StandardScaler,SGD_Hinge,0.6842,0.8704,0.6184,0.7231,0.7403,47,31,7,29
RobustScaler,LinearSVC,0.6667,0.8654,0.5921,0.7031,0.7361,45,31,7,31
RobustScaler,SGD_SqHinge,0.614,0.881,0.4868,0.6271,0.7355,37,33,5,39
StandardScaler,LinearSVC,0.6404,0.8302,0.5789,0.6822,0.7316,44,29,9,32
NoScaler,LinearSVC,0.6228,0.8837,0.5,0.6387,0.7303,38,33,5,38
MinMaxScaler,LinearSVC,0.6842,0.8125,0.6842,0.7429,0.7233,52,26,12,24
MinMaxScaler,SGD_Hinge,0.6667,0.8393,0.6184,0.7121,0.7233,47,29,9,29
NoScaler,SGD_SqHinge,0.6404,0.8302,0.5789,0.6822,0.7043,44,29,9,32
NoScaler,SGD_Hinge,0.6579,0.8627,0.5789,0.6929,0.7039,44,31,7,32
Normalizer,SGD_Hinge,0.614,0.8333,0.5263,0.6452,0.6832,40,30,8,36
StandardScaler,SGD_SqHinge,0.614,0.8636,0.5,0.6333,0.669,38,32,6,38
Normalizer,LinearSVC,0.5965,0.8125,0.5132,0.629,0.66,39,29,9,37
